Sequence_Name,GenBank_Accn,Sequence_Length
Contig1059,PTTO01001035.1,87010
Contig106,PTTO01004427.1,8964808
Contig1060,PTTO01000390.1,30203
Contig1061,PTTO01003178.1,11551
Contig1062,PTTO01003776.1,14183
Contig1063,PTTO01001769.1,3471
Contig1064,PTTO01002700.1,17880
Contig1065,PTTO01000741.1,12763
Contig1066,PTTO01001146.1,18036
Contig1067,PTTO01003813.1,41790
Contig1068,PTTO01000192.1,55877
Contig1069,PTTO01002771.1,68729
Contig107,PTTO01001485.1,889961
Contig1070,PTTO01003778.1,33442
Contig1071,PTTO01001358.1,31763
Contig1072,PTTO01000688.1,73541
Contig1073,PTTO01002339.1,23357
Contig1074,PTTO01001879.1,20089
Contig1075,PTTO01003914.1,2926
Contig1076,PTTO01003363.1,65719
Contig1077,PTTO01000368.1,22821
Contig1078,PTTO01004457.1,19591
Contig1079,PTTO01000866.1,15711
Contig108,PTTO01003132.1,629215
Contig1080,PTTO01003885.1,19621
Contig1081,PTTO01003356.1,49384
Contig1082,PTTO01002653.1,38275
Contig1083,PTTO01004377.1,8744
Contig1084,PTTO01002983.1,4723
Contig1085,PTTO01000202.1,40348
Contig1086,PTTO01004017.1,51799
Contig1087,PTTO01001224.1,14301
Contig1088,PTTO01001032.1,38014
Contig1089,PTTO01002792.1,50009
Contig109,PTTO01000019.1,510041
Contig1090,PTTO01004558.1,31944
Contig1091,PTTO01001099.1,69452
Contig1092,PTTO01000450.1,67661
Contig1093,PTTO01001989.1,29478
Contig1094,PTTO01001918.1,24040
Contig1095,PTTO01001836.1,38143
Contig1096,PTTO01001208.1,33826
Contig1097,PTTO01003377.1,17230
Contig1098,PTTO01002668.1,19489
Contig1099,PTTO01003857.1,2061529
Contig11,PTTO01000376.1,25990719
Contig110,PTTO01000567.1,125136
Contig1100,PTTO01000338.1,17682
Contig1101,PTTO01002221.1,42290
Contig1102,PTTO01002832.1,37231
Contig1103,PTTO01002335.1,117411
Contig1104,PTTO01002812.1,37305
Contig1105,PTTO01002416.1,26097
Contig1106,PTTO01004240.1,2687502
Contig1107,PTTO01003753.1,38764
Contig1108,PTTO01000967.1,421952
Contig1109,PTTO01000280.1,23503
Contig111,PTTO01003750.1,49661
Contig1110,PTTO01002652.1,40499
Contig1111,PTTO01003463.1,31043
Contig1112,PTTO01003728.1,7927
Contig1113,PTTO01000858.1,14533
Contig1114,PTTO01002099.1,14146
Contig1115,PTTO01001418.1,688552
Contig1116,PTTO01002834.1,37908
Contig1117,PTTO01002443.1,36849
Contig1118,PTTO01003142.1,33903
Contig1119,PTTO01002629.1,8263
Contig112,PTTO01004415.1,1688280
Contig1120,PTTO01003680.1,25386
Contig1121,PTTO01000859.1,14332
Contig1122,PTTO01000003.1,25289
Contig1123,PTTO01001853.1,2401
Contig1124,PTTO01003378.1,87285
Contig1125,PTTO01002890.1,2855
Contig1126,PTTO01004392.1,54220
Contig1127,PTTO01003892.1,3311433
Contig1128,PTTO01004278.1,31600
Contig1129,PTTO01003770.1,64639
Contig113,PTTO01002696.1,76779
Contig1130,PTTO01004179.1,8224
Contig1131,PTTO01003667.1,31211
Contig1132,PTTO01000850.1,38682
Contig1133,PTTO01000436.1,2873
Contig1134,PTTO01002925.1,43242
Contig1135,PTTO01003455.1,47047
Contig1136,PTTO01001663.1,17053
Contig1137,PTTO01002137.1,39831
Contig1138,PTTO01001028.1,8804
Contig1139,PTTO01001520.1,3921
Contig114,PTTO01003283.1,518668
Contig1140,PTTO01001476.1,108025
Contig1141,PTTO01001007.1,23302
Contig1142,PTTO01002760.1,50828
Contig1143,PTTO01001710.1,27324
Contig1144,PTTO01002811.1,31213
Contig1145,PTTO01002747.1,16807
Contig1146,PTTO01004469.1,25069
Contig1147,PTTO01003722.1,516501
Contig1148,PTTO01001440.1,32257
Contig1149,PTTO01000255.1,33625
Contig115,PTTO01003824.1,1772946
Contig1150,PTTO01002391.1,13922
Contig1151,PTTO01004258.1,42558
Contig1152,PTTO01001983.1,11099
Contig1153,PTTO01001484.1,50308
Contig1154,PTTO01000495.1,99849
Contig1155,PTTO01001971.1,31575
Contig1156,PTTO01003843.1,37723
Contig1157,PTTO01000635.1,2371
Contig1158,PTTO01004083.1,43998
Contig1159,PTTO01003442.1,76166
Contig116,PTTO01004551.1,233179
Contig1160,PTTO01001268.1,25812
Contig1161,PTTO01001917.1,40944
Contig1162,PTTO01000053.1,62545
Contig1163,PTTO01000654.1,20796
Contig1164,PTTO01004455.1,24856
Contig1165,PTTO01000493.1,2823146
Contig1166,PTTO01003053.1,61587
Contig1167,PTTO01003768.1,42529
Contig1168,PTTO01001697.1,49472
Contig1169,PTTO01003297.1,42921
Contig117,PTTO01002558.1,2001295
Contig1170,PTTO01000843.1,60857
Contig1171,PTTO01001621.1,33276
Contig1172,PTTO01004429.1,34221
Contig1173,PTTO01004028.1,13805
Contig1174,PTTO01002418.1,8966
Contig1175,PTTO01003085.1,36461
Contig1176,PTTO01001407.1,68417
Contig1177,PTTO01002049.1,15860
Contig1178,PTTO01004045.1,49472
Contig1179,PTTO01000978.1,4011
Contig118,PTTO01003196.1,2772567
Contig1180,PTTO01004034.1,29797
Contig1181,PTTO01003808.1,22891
Contig1182,PTTO01003160.1,46100
Contig1183,PTTO01003066.1,28757
Contig1184,PTTO01000396.1,91868
Contig1185,PTTO01002166.1,2522
Contig1186,PTTO01003397.1,26339
Contig1187,PTTO01000619.1,130393
Contig1188,PTTO01002424.1,58357
Contig1189,PTTO01004161.1,30526
Contig119,PTTO01000680.1,389802
Contig1190,PTTO01000147.1,17347
Contig1191,PTTO01000756.1,621610
Contig1192,PTTO01004346.1,32288
Contig1193,PTTO01000526.1,38472
Contig1194,PTTO01003315.1,19826
Contig1195,PTTO01003533.1,73827
Contig1196,PTTO01001688.1,36266
Contig1197,PTTO01002467.1,35104
Contig1198,PTTO01001494.1,32280
Contig1199,PTTO01002006.1,75838
Contig12,PTTO01002315.1,23052461
Contig120,PTTO01003474.1,251115
Contig1200,PTTO01004279.1,112039
Contig1201,PTTO01004022.1,9772
Contig1202,PTTO01003561.1,15178
Contig1203,PTTO01002702.1,13607
Contig1204,PTTO01002355.1,127360
Contig1205,PTTO01000946.1,19116
Contig1206,PTTO01000344.1,12994
Contig1207,PTTO01004180.1,27162
Contig1208,PTTO01003640.1,54870
Contig1209,PTTO01003456.1,4311
Contig121,PTTO01001025.1,199328
Contig1210,PTTO01003709.1,26652
Contig1211,PTTO01003947.1,15440
Contig1212,PTTO01004462.1,22890
Contig1213,PTTO01000646.1,22646
Contig1214,PTTO01001350.1,20332
Contig1215,PTTO01002628.1,22366
Contig1216,PTTO01003133.1,6651
Contig1217,PTTO01003912.1,39535
Contig1218,PTTO01004453.1,31736
Contig1219,PTTO01004384.1,6588
Contig122,PTTO01000502.1,220491
Contig1220,PTTO01002158.1,92399
Contig1221,PTTO01003302.1,49332
Contig1222,PTTO01002818.1,91391
Contig1223,PTTO01003449.1,41629
Contig1224,PTTO01004237.1,71356
Contig1225,PTTO01000787.1,32343
Contig1226,PTTO01001328.1,59996
Contig1227,PTTO01002087.1,56334
Contig1228,PTTO01002718.1,21437
Contig1229,PTTO01003849.1,633452
Contig123,PTTO01002191.1,1168543
Contig1230,PTTO01000972.1,14905
Contig1231,PTTO01000653.1,33052
Contig1232,PTTO01001166.1,32922
Contig1233,PTTO01001937.1,27674
Contig1234,PTTO01002960.1,43105
Contig1235,PTTO01003539.1,405820
Contig1236,PTTO01000475.1,9994
Contig1237,PTTO01001011.1,42652
Contig1238,PTTO01000985.1,23974
Contig1239,PTTO01001458.1,24648
Contig124,PTTO01001543.1,3593503
Contig1240,PTTO01000421.1,148299
Contig1241,PTTO01001876.1,39166
Contig1242,PTTO01001856.1,541190
Contig1243,PTTO01001354.1,7541
Contig1244,PTTO01002580.1,60765
Contig1245,PTTO01004433.1,77180
Contig1246,PTTO01000590.1,49016
Contig1247,PTTO01000532.1,221227
Contig1248,PTTO01001895.1,97459
Contig1249,PTTO01001270.1,32689
Contig125,PTTO01002899.1,933814
Contig1250,PTTO01003041.1,28551
Contig1251,PTTO01002514.1,37221
Contig1252,PTTO01003863.1,71556
Contig1253,PTTO01003537.1,30293
Contig1254,PTTO01001973.1,11038
Contig1255,PTTO01001483.1,36282
Contig1256,PTTO01003008.1,2993313
Contig1257,PTTO01002631.1,65775
Contig1258,PTTO01002279.1,55103
Contig1259,PTTO01003961.1,25091
Contig126,PTTO01002255.1,211203
Contig1260,PTTO01004493.1,30874
Contig1261,PTTO01004100.1,60572
Contig1262,PTTO01003149.1,64996
Contig1263,PTTO01002776.1,5831
Contig1264,PTTO01001903.1,3630
Contig1265,PTTO01001271.1,37815
Contig1266,PTTO01004232.1,16448
Contig1267,PTTO01003578.1,100162
Contig1268,PTTO01003032.1,19427
Contig1269,PTTO01004435.1,45283
Contig127,PTTO01002097.1,131137
Contig1270,PTTO01003888.1,8528
Contig1271,PTTO01000891.1,8287
Contig1272,PTTO01001546.1,21745
Contig1273,PTTO01002175.1,27954
Contig1274,PTTO01002358.1,20633
Contig1275,PTTO01002866.1,14162
Contig1276,PTTO01003545.1,37768
Contig1277,PTTO01000337.1,34242
Contig1278,PTTO01000943.1,29676
Contig1279,PTTO01001582.1,34223
Contig128,PTTO01001456.1,8828312
Contig1280,PTTO01000360.1,36603
Contig1281,PTTO01002125.1,48190
Contig1282,PTTO01001595.1,36046
Contig1283,PTTO01002508.1,36307
Contig1284,PTTO01004035.1,10057
Contig1285,PTTO01003791.1,48068
Contig1286,PTTO01000726.1,49133
Contig1287,PTTO01000501.1,38554
Contig1288,PTTO01002161.1,42023
Contig1289,PTTO01002913.1,40642
Contig129,PTTO01003101.1,119488
Contig1290,PTTO01004031.1,55484
Contig1291,PTTO01002138.1,54419
Contig1292,PTTO01000442.1,31565
Contig1293,PTTO01003060.1,10191
Contig1294,PTTO01001118.1,35435
Contig1295,PTTO01004387.1,36086
Contig1296,PTTO01002399.1,13919
Contig1297,PTTO01000467.1,23272
Contig1298,PTTO01000827.1,178303
Contig1299,PTTO01001737.1,5904
Contig13,PTTO01004194.1,12215701
Contig130,PTTO01000479.1,357939
Contig1300,PTTO01002606.1,1361
Contig1301,PTTO01002248.1,13093
Contig1302,PTTO01003911.1,69845
Contig1303,PTTO01003663.1,49788
Contig1304,PTTO01004164.1,32637
Contig1305,PTTO01001355.1,18249
Contig1306,PTTO01001854.1,40161
Contig1307,PTTO01002630.1,59392
Contig1308,PTTO01003281.1,7759
Contig1309,PTTO01003931.1,37103
Contig131,PTTO01004112.1,254592
Contig1310,PTTO01004324.1,20715
Contig1311,PTTO01003800.1,84209
Contig1312,PTTO01003265.1,27751
Contig1313,PTTO01002577.1,11217
Contig1314,PTTO01004395.1,16699
Contig1315,PTTO01004204.1,12329
Contig1316,PTTO01003549.1,183660
Contig1317,PTTO01000609.1,19752
Contig1318,PTTO01004214.1,30181
Contig1319,PTTO01000848.1,11141
Contig132,PTTO01003426.1,150510
Contig1320,PTTO01001667.1,19179
Contig1321,PTTO01001074.1,34898
Contig1322,PTTO01002977.1,46815
Contig1323,PTTO01002008.1,12391
Contig1324,PTTO01003968.1,41498
Contig1325,PTTO01003597.1,102618
Contig1326,PTTO01001010.1,67079
Contig1327,PTTO01000471.1,39696
Contig1328,PTTO01002027.1,66816
Contig1329,PTTO01001480.1,23841
Contig133,PTTO01001075.1,225919
Contig1330,PTTO01001108.1,33789
Contig1331,PTTO01000415.1,77244
Contig1332,PTTO01002496.1,26947
Contig1333,PTTO01004329.1,30554
Contig1334,PTTO01001199.1,12078
Contig1335,PTTO01003000.1,12318
Contig1336,PTTO01000488.1,39732
Contig1337,PTTO01000107.1,18272
Contig1338,PTTO01003760.1,68971
Contig1339,PTTO01000987.1,9797
Contig134,PTTO01000413.1,42848
Contig1340,PTTO01000085.1,26744
Contig1341,PTTO01000563.1,8900
Contig1342,PTTO01002957.1,51552
Contig1343,PTTO01001342.1,16439
Contig1344,PTTO01004156.1,26798
Contig1345,PTTO01003225.1,61558
Contig1346,PTTO01000826.1,20383
Contig1347,PTTO01003856.1,29775
Contig1348,PTTO01002213.1,30714
Contig1349,PTTO01000055.1,144685
Contig135,PTTO01002666.1,2496877
Contig1350,PTTO01004172.1,36468
Contig1351,PTTO01003427.1,18239
Contig1352,PTTO01002578.1,366214
Contig1353,PTTO01004432.1,33478
Contig1354,PTTO01004049.1,43427
Contig1355,PTTO01003406.1,2216101
Contig1356,PTTO01000011.1,22366
Contig1357,PTTO01002193.1,27314
Contig1358,PTTO01001505.1,43240
Contig1359,PTTO01003158.1,12492
Contig136,PTTO01002077.1,857981
Contig1360,PTTO01002408.1,42509
Contig1361,PTTO01001692.1,7746
Contig1362,PTTO01000540.1,52211
Contig1363,PTTO01001107.1,2376
Contig1364,PTTO01000469.1,47011
Contig1365,PTTO01004358.1,38986
Contig1366,PTTO01003236.1,18219
Contig1367,PTTO01002553.1,55838
Contig1368,PTTO01001936.1,76044
Contig1369,PTTO01001287.1,79117
Contig137,PTTO01003744.1,189353
Contig1370,PTTO01002603.1,84264
Contig1371,PTTO01003165.1,17679
Contig1372,PTTO01003364.1,2115350
Contig1373,PTTO01003767.1,90691
Contig1374,PTTO01000103.1,37309
Contig1375,PTTO01000589.1,55080
Contig1376,PTTO01000598.1,35006
Contig1377,PTTO01001219.1,101249
Contig1378,PTTO01001862.1,15309
Contig1379,PTTO01002513.1,32031
Contig138,PTTO01002501.1,5223969
Contig1380,PTTO01000144.1,1127
Contig1381,PTTO01000759.1,27590
Contig1382,PTTO01003689.1,14977
Contig1383,PTTO01004459.1,35646
Contig1384,PTTO01004120.1,25652
Contig1385,PTTO01003187.1,9408
Contig1386,PTTO01003097.1,24222
Contig1387,PTTO01001137.1,14219
Contig1388,PTTO01002028.1,38130
Contig1389,PTTO01000400.1,9977
Contig139,PTTO01000318.1,21004479
Contig1390,PTTO01002761.1,33808
Contig1391,PTTO01004281.1,46127
Contig1392,PTTO01002660.1,22436
Contig1393,PTTO01004399.1,134529
Contig1394,PTTO01001396.1,9285
Contig1395,PTTO01001378.1,31188
Contig1396,PTTO01000720.1,10590
Contig1397,PTTO01000123.1,44660
Contig1398,PTTO01004566.1,42608
Contig1399,PTTO01003872.1,18137
Contig14,PTTO01003351.1,201618
Contig140,PTTO01003117.1,710205
Contig1400,PTTO01004060.1,454
Contig1401,PTTO01001807.1,17496
Contig1402,PTTO01003414.1,29531
Contig1403,PTTO01003065.1,2723
Contig1404,PTTO01000143.1,32070
Contig1405,PTTO01000306.1,30152
Contig1406,PTTO01001972.1,25118
Contig1407,PTTO01001521.1,6878
Contig1408,PTTO01003016.1,20765
Contig1409,PTTO01002487.1,53327
Contig141,PTTO01003962.1,600184
Contig1410,PTTO01001861.1,218754
Contig1411,PTTO01001372.1,32146
Contig1412,PTTO01003497.1,38124
Contig1413,PTTO01000712.1,28248
Contig1414,PTTO01002740.1,24022
Contig1415,PTTO01004019.1,28450
Contig1416,PTTO01001804.1,34025
Contig1417,PTTO01001161.1,38936
Contig1418,PTTO01000796.1,40923
Contig1419,PTTO01002016.1,4598
Contig142,PTTO01004499.1,5527178
Contig1420,PTTO01003404.1,17175
Contig1421,PTTO01000465.1,15379
Contig1422,PTTO01002392.1,32710
Contig1423,PTTO01004070.1,55956
Contig1424,PTTO01001419.1,8775
Contig1425,PTTO01003109.1,18890
Contig1426,PTTO01001729.1,35469
Contig1427,PTTO01002211.1,20335
Contig1428,PTTO01003031.1,55264
Contig1429,PTTO01001223.1,82756
Contig143,PTTO01002561.1,2467178
Contig1430,PTTO01003693.1,5537
Contig1431,PTTO01003349.1,47095
Contig1432,PTTO01004077.1,82915
Contig1433,PTTO01001783.1,27019
Contig1434,PTTO01001145.1,8546
Contig1435,PTTO01000773.1,60614
Contig1436,PTTO01000215.1,30446
Contig1437,PTTO01003766.1,35377
Contig1438,PTTO01000836.1,46432
Contig1439,PTTO01004001.1,10802
Contig144,PTTO01003242.1,373231
Contig1440,PTTO01002012.1,10973
Contig1441,PTTO01004266.1,6295
Contig1442,PTTO01003601.1,2329
Contig1443,PTTO01002403.1,18089
Contig1444,PTTO01004108.1,15249
Contig1445,PTTO01001412.1,36214
Contig1446,PTTO01003202.1,64378
Contig1447,PTTO01001715.1,218241
Contig1448,PTTO01001227.1,12664
Contig1449,PTTO01000692.1,31894
Contig145,PTTO01003865.1,42003
Contig1450,PTTO01003183.1,30033
Contig1451,PTTO01003917.1,54039
Contig1452,PTTO01004480.1,35629
Contig1453,PTTO01001768.1,51549
Contig1454,PTTO01000088.1,82771
Contig1455,PTTO01003119.1,38935
Contig1456,PTTO01001336.1,55750
Contig1457,PTTO01001438.1,23491
Contig1458,PTTO01002989.1,19946
Contig1459,PTTO01002732.1,26677
Contig146,PTTO01004446.1,8428736
Contig1460,PTTO01002073.1,16395
Contig1461,PTTO01003026.1,29797
Contig1462,PTTO01002494.1,49468
Contig1463,PTTO01000074.1,13209
Contig1464,PTTO01004141.1,18154
Contig1465,PTTO01001649.1,8379
Contig1466,PTTO01000562.1,28411
Contig1467,PTTO01002000.1,7523
Contig1468,PTTO01001509.1,46785
Contig1469,PTTO01002294.1,13102
Contig147,PTTO01004199.1,172771
Contig1470,PTTO01001891.1,69478
Contig1471,PTTO01002105.1,31098
Contig1472,PTTO01002596.1,58904
Contig1473,PTTO01003371.1,37584
Contig1474,PTTO01003862.1,11373
Contig1475,PTTO01003982.1,16075
Contig1476,PTTO01000178.1,70574
Contig1477,PTTO01004519.1,9655447
Contig1478,PTTO01000275.1,41820
Contig1479,PTTO01000935.1,36901
Contig148,PTTO01000006.1,18718360
Contig1480,PTTO01000292.1,44671
Contig1481,PTTO01004152.1,39117
Contig1482,PTTO01003498.1,29177
Contig1483,PTTO01002920.1,51684
Contig1484,PTTO01002126.1,32717
Contig1485,PTTO01001562.1,6402
Contig1486,PTTO01000945.1,6449
Contig1487,PTTO01001620.1,63853
Contig1488,PTTO01000814.1,68849
Contig1489,PTTO01000593.1,28452
Contig149,PTTO01000748.1,2411747
Contig1490,PTTO01002932.1,7397
Contig1491,PTTO01002575.1,29522
Contig1492,PTTO01001837.1,3662
Contig1493,PTTO01002063.1,39864
Contig1494,PTTO01001469.1,41125
Contig1495,PTTO01001014.1,49633
Contig1496,PTTO01000504.1,17538
Contig1497,PTTO01002955.1,28189
Contig1498,PTTO01002412.1,297571
Contig1499,PTTO01002048.1,13797
Contig15,PTTO01002265.1,40621999
Contig150,PTTO01001829.1,229157
Contig1500,PTTO01003380.1,23204
Contig1501,PTTO01001195.1,43100
Contig1502,PTTO01001693.1,54913
Contig1503,PTTO01000221.1,7983
Contig1504,PTTO01000191.1,18502
Contig1505,PTTO01000784.1,57713
Contig1506,PTTO01004512.1,18546
Contig1507,PTTO01002644.1,28326
Contig1508,PTTO01001758.1,103400
Contig1509,PTTO01000061.1,29874
Contig151,PTTO01001673.1,6003342
Contig1510,PTTO01001397.1,39161
Contig1511,PTTO01003050.1,61516
Contig1512,PTTO01000458.1,20297
Contig1513,PTTO01002019.1,34056
Contig1514,PTTO01002601.1,69150
Contig1515,PTTO01003121.1,93025
Contig1516,PTTO01002843.1,22114
Contig1517,PTTO01004490.1,10726
Contig1518,PTTO01004182.1,4704
Contig1519,PTTO01003708.1,71195
Contig152,PTTO01001211.1,281102
Contig1520,PTTO01003270.1,20782
Contig1521,PTTO01003527.1,30732
Contig1522,PTTO01002219.1,15097
Contig1523,PTTO01002564.1,72803
Contig1524,PTTO01000322.1,54867
Contig1525,PTTO01000951.1,98293
Contig1526,PTTO01004119.1,3907
Contig1527,PTTO01000213.1,29654
Contig1528,PTTO01004420.1,15109
Contig1529,PTTO01002729.1,9006
Contig153,PTTO01003256.1,15880556
Contig1530,PTTO01003278.1,35196
Contig1531,PTTO01001857.1,92204
Contig1532,PTTO01000014.1,9527
Contig1533,PTTO01000616.1,17012
Contig1534,PTTO01003868.1,103637
Contig1535,PTTO01004504.1,33734
Contig1536,PTTO01002522.1,22679
Contig1537,PTTO01003247.1,118351
Contig1538,PTTO01003837.1,32539
Contig1539,PTTO01004564.1,7945
Contig154,PTTO01002784.1,1342168
Contig1540,PTTO01002856.1,4155
Contig1541,PTTO01002341.1,148089
Contig1542,PTTO01004248.1,12476
Contig1543,PTTO01003618.1,44090
Contig1544,PTTO01001406.1,44220
Contig1545,PTTO01000921.1,36641
Contig1546,PTTO01002648.1,13107
Contig1547,PTTO01001716.1,24243
Contig1548,PTTO01003668.1,42342
Contig1549,PTTO01002869.1,15607
Contig155,PTTO01001872.1,52009
Contig1550,PTTO01002325.1,67929
Contig1551,PTTO01002995.1,33072
Contig1552,PTTO01003379.1,18742
Contig1553,PTTO01004000.1,28681
Contig1554,PTTO01000454.1,6959
Contig1555,PTTO01000984.1,5437
Contig1556,PTTO01001305.1,22891
Contig1557,PTTO01002207.1,28951
Contig1558,PTTO01001590.1,53509
Contig1559,PTTO01002201.1,112370
Contig156,PTTO01001129.1,57847
Contig1560,PTTO01003952.1,29983
Contig1561,PTTO01003176.1,21938
Contig1562,PTTO01002432.1,12684
Contig1563,PTTO01002091.1,6110
Contig1564,PTTO01001181.1,71410
Contig1565,PTTO01000804.1,42715
Contig1566,PTTO01004473.1,80267
Contig1567,PTTO01003930.1,40025
Contig1568,PTTO01004465.1,36364
Contig1569,PTTO01003933.1,10807
Contig157,PTTO01003175.1,44638
Contig1570,PTTO01003477.1,21122
Contig1571,PTTO01003946.1,57408
Contig1572,PTTO01003154.1,14081
Contig1573,PTTO01002641.1,159137
Contig1574,PTTO01001503.1,82135
Contig1575,PTTO01001403.1,40860
Contig1576,PTTO01001091.1,2487
Contig1577,PTTO01000464.1,16699
Contig1578,PTTO01000597.1,6901
Contig1579,PTTO01000232.1,43672
Contig158,PTTO01002609.1,4277578
Contig1580,PTTO01003129.1,16794
Contig1581,PTTO01002739.1,9128
Contig1582,PTTO01002129.1,4377
Contig1583,PTTO01001162.1,35351
Contig1584,PTTO01003429.1,9821
Contig1585,PTTO01000768.1,10893
Contig1586,PTTO01004352.1,67380
Contig1587,PTTO01003694.1,26171
Contig1588,PTTO01000352.1,52926
Contig1589,PTTO01000141.1,46520
Contig159,PTTO01002737.1,357663
Contig1590,PTTO01000254.1,37970
Contig1591,PTTO01000709.1,46731
Contig1592,PTTO01003815.1,8275
Contig1593,PTTO01004386.1,32077
Contig1594,PTTO01002806.1,38550
Contig1595,PTTO01003392.1,36233
Contig1596,PTTO01001813.1,111078
Contig1597,PTTO01000118.1,23090
Contig1598,PTTO01001823.1,544426
Contig1599,PTTO01000091.1,35956
Contig16,PTTO01002104.1,68932321
Contig160,PTTO01000683.1,80760
Contig1600,PTTO01003343.1,122022
Contig1601,PTTO01000798.1,6702
Contig1602,PTTO01004303.1,34478
Contig1603,PTTO01001749.1,8753
Contig1604,PTTO01000185.1,16603
Contig1605,PTTO01003355.1,9932
Contig1606,PTTO01001265.1,13632
Contig1607,PTTO01000403.1,4711
Contig1608,PTTO01001040.1,31180
Contig1609,PTTO01001921.1,5231
Contig161,PTTO01001335.1,600354
Contig1610,PTTO01004142.1,65841
Contig1611,PTTO01002296.1,46106
Contig1612,PTTO01002858.1,42194
Contig1613,PTTO01002363.1,29113
Contig1614,PTTO01003339.1,95584
Contig1615,PTTO01001537.1,31342
Contig1616,PTTO01002059.1,78334
Contig1617,PTTO01000353.1,29064
Contig1618,PTTO01000837.1,15061
Contig1619,PTTO01003048.1,59910
Contig162,PTTO01001682.1,1083143
Contig1620,PTTO01002299.1,21112
Contig1621,PTTO01004146.1,18326
Contig1622,PTTO01003614.1,160695
Contig1623,PTTO01001824.1,34083
Contig1624,PTTO01001311.1,16617
Contig1625,PTTO01002559.1,85199
Contig1626,PTTO01002052.1,32726
Contig1627,PTTO01003875.1,34323
Contig1628,PTTO01002679.1,38109
Contig1629,PTTO01004371.1,28403
Contig163,PTTO01002331.1,289929
Contig1630,PTTO01004507.1,35624
Contig1631,PTTO01002540.1,17826
Contig1632,PTTO01003068.1,95209
Contig1633,PTTO01001262.1,42980
Contig1634,PTTO01001798.1,56282
Contig1635,PTTO01000046.1,40924
Contig1636,PTTO01000500.1,87037
Contig1637,PTTO01002413.1,19299
Contig1638,PTTO01003790.1,24153
Contig1639,PTTO01003155.1,21184
Contig164,PTTO01003257.1,4360558
Contig1640,PTTO01002308.1,8263
Contig1641,PTTO01002124.1,46379
Contig1642,PTTO01001210.1,35404
Contig1643,PTTO01001443.1,16895
Contig1644,PTTO01000200.1,6799
Contig1645,PTTO01000453.1,23012
Contig1646,PTTO01004406.1,50490
Contig1647,PTTO01002338.1,14909
Contig1648,PTTO01001873.1,5270
Contig1649,PTTO01001559.1,13728
Contig165,PTTO01003889.1,28938262
Contig1650,PTTO01004356.1,48374
Contig1651,PTTO01000261.1,47378
Contig1652,PTTO01000575.1,12225
Contig1653,PTTO01002676.1,11629
Contig1654,PTTO01002295.1,25324
Contig1655,PTTO01003789.1,31388
Contig1656,PTTO01004528.1,26606
Contig1657,PTTO01004122.1,6443
Contig1658,PTTO01000351.1,53560
Contig1659,PTTO01000581.1,62204
Contig166,PTTO01004398.1,6633619
