discrep_type,seqtype,seqname,placetype,query_start,query_stop,query_length,gap_length,number_masked,number_het,number_chrY,target_name,target_seq_id,target_start,target_stop
Inv,scaffold,Contig316,unplaced,1,1093605,1019621,100,695249,0,0,1,ref|NC_041728.1|,36816679,37841287
Inv,scaffold,Contig317,unplaced,92234,93369,1105,0,795,0,0,1,ref|NC_041728.1|,36805032,36806170
SP Only,scaffold,Contig3195,unplaced,1,17081,17031,0,9606,0,0,1,ref|NC_041728.1|,132376932,132394059
Inv,scaffold,Contig32,unplaced,1812746,1814134,1389,0,367,0,0,1,ref|NC_041728.1|,40626109,40627497
Inv,scaffold,Contig3275,unplaced,1,310574,310213,0,240291,0,0,1,ref|NC_041728.1|,180325858,180638428
SP,scaffold,Contig328,unplaced,190333,203708,13301,0,10312,0,0,1,ref|NC_041728.1|,182275027,182288407
SP Only,scaffold,Contig3387,unplaced,1,2221,2215,0,562,0,0,1,ref|NC_041728.1|,80432827,80435067
SP Only,scaffold,Contig3398,unplaced,1,7002,6994,0,3739,0,0,1,ref|NC_041728.1|,91316264,91323276
SP,scaffold,Contig353,unplaced,25748904,25750721,1801,0,1128,0,0,1,ref|NC_041728.1|,38670144,38671960
SP Only,scaffold,Contig3534,unplaced,17674,19112,1439,0,1049,0,0,1,ref|NC_041728.1|,44844963,44846401
SP Only,scaffold,Contig3575,unplaced,1,18671,18658,0,14463,0,0,1,ref|NC_041728.1|,132353605,132372295
SP Only,scaffold,Contig3645,unplaced,7,4624,4608,0,3644,0,0,1,ref|NC_041728.1|,178877649,178882303
SP Only,scaffold,Contig3943,unplaced,1,22063,21879,0,16472,0,0,1,ref|NC_041728.1|,36816679,36838729
SP Only,scaffold,Contig3962,unplaced,6,7510,7485,0,1461,0,0,1,ref|NC_041728.1|,38528389,38535964
SP Only,scaffold,Contig4079,unplaced,1,32636,32568,0,11649,0,0,1,ref|NC_041728.1|,94661681,94694397
SP Only,scaffold,Contig4246,unplaced,1,7668,7668,0,6499,0,0,1,ref|NC_041728.1|,36246032,36253720
SP Only,scaffold,Contig4257,unplaced,26900,28730,1826,0,681,0,0,1,ref|NC_041728.1|,169374690,169376524
Inv,scaffold,Contig4355,unplaced,9675,10031,357,0,68,0,0,1,ref|NC_041728.1|,186477764,186478129
SP Only,scaffold,Contig4446,unplaced,1,29695,29671,0,23776,0,0,1,ref|NC_041728.1|,184426553,184456306
Inv,scaffold,Contig4489,unplaced,1,21640,21640,0,11428,0,0,1,ref|NC_041728.1|,32969002,32990648
SP Only,scaffold,Contig481,unplaced,1,15552,15410,0,7628,0,0,1,ref|NC_041728.1|,132372309,132387786
SP,scaffold,Contig60,unplaced,186596,187713,1092,0,334,0,0,1,ref|NC_041728.1|,33105208,33106312
Inv,scaffold,Contig68,unplaced,1,154001,153981,0,79977,0,0,1,ref|NC_041728.1|,34174441,34328570
SP,scaffold,Contig69,unplaced,162529,164942,2414,0,913,0,0,1,ref|NC_041728.1|,38086308,38088740
SP Only,scaffold,Contig700,unplaced,4,31434,31366,0,11941,0,0,1,ref|NC_041728.1|,36715011,36746623
SP Only,scaffold,Contig767,unplaced,1,2098,2097,0,1689,0,0,1,ref|NC_041728.1|,36255678,36257779
SP Only,scaffold,Contig850,unplaced,1,4928,4914,0,2190,0,0,1,ref|NC_041728.1|,33089047,33094242
SP Only,scaffold,Contig1153,unplaced,5066,8087,2947,0,2494,0,0,2,ref|NC_041729.1|,54641650,54644706
SP Only,scaffold,Contig12,unplaced,227,4679,4450,0,2084,0,0,2,ref|NC_041729.1|,161335527,161339994
SP Only,scaffold,Contig1243,unplaced,1,2323,2321,0,1401,0,0,2,ref|NC_041729.1|,71224490,71226850
SP,scaffold,Contig1296,unplaced,6,2595,2491,0,1822,0,0,2,ref|NC_041729.1|,68311138,68313690
SP Only,scaffold,Contig1310,unplaced,40,9146,9052,0,6201,0,0,2,ref|NC_041729.1|,68340392,68349521
SP Only,scaffold,Contig1359,unplaced,1,12492,12483,0,4248,0,0,2,ref|NC_041729.1|,63343705,63356245
SP Only,scaffold,Contig1390,unplaced,1,6036,6036,0,4277,0,0,2,ref|NC_041729.1|,63739437,63745485
SP Only,scaffold,Contig1401,unplaced,9246,11612,2267,0,1540,0,0,2,ref|NC_041729.1|,68309020,68311343
SP Only,scaffold,Contig1528,unplaced,1,15098,15010,0,7193,0,0,2,ref|NC_041729.1|,22796177,22811382
SP Only,scaffold,Contig1646,unplaced,1,36180,35956,0,30822,0,0,2,ref|NC_041729.1|,64899779,64935939
SP Only,scaffold,Contig1698,unplaced,9892,11890,1962,0,1308,0,0,2,ref|NC_041729.1|,71281124,71283113
SP Only,scaffold,Contig1713,unplaced,1,1523,1514,0,831,0,0,2,ref|NC_041729.1|,170794554,170796071
SP Only,scaffold,Contig1719,unplaced,1,14447,14439,0,12659,0,0,2,ref|NC_041729.1|,64915521,64930225
SP Only,scaffold,Contig1723,unplaced,1,1091,1091,0,836,0,0,2,ref|NC_041729.1|,68348425,68349521
SP Only,scaffold,Contig1724,unplaced,1,10178,10169,0,6754,0,0,2,ref|NC_041729.1|,170831703,170841904
SP Only,scaffold,Contig18,unplaced,1,27944,27943,0,13439,0,0,2,ref|NC_041729.1|,42384005,42411968
SP Only,scaffold,Contig1874,unplaced,4,1617,1595,0,1219,0,0,2,ref|NC_041729.1|,68354436,68356053
SP Only,scaffold,Contig1883,unplaced,4715,10803,6060,0,3047,0,0,2,ref|NC_041729.1|,68335823,68341893
SP Only,scaffold,Contig1892,unplaced,1,7518,7463,0,3900,0,0,2,ref|NC_041729.1|,68411036,68418546
SP Only,scaffold,Contig1897,unplaced,1,3942,3848,0,2487,0,0,2,ref|NC_041729.1|,71229393,71233318
SP Only,scaffold,Contig1934,unplaced,1,7096,7053,0,3065,0,0,2,ref|NC_041729.1|,171283357,171290451
SP Only,scaffold,Contig1987,unplaced,19769,21388,1586,0,1009,0,0,2,ref|NC_041729.1|,68309700,68311323
SP Only,scaffold,Contig2031,unplaced,22742,25424,2633,0,2345,0,0,2,ref|NC_041729.1|,54641476,54644251
SP Only,scaffold,Contig2071,unplaced,1,1501,1487,0,679,0,0,2,ref|NC_041729.1|,68422142,68423638
SP Only,scaffold,Contig2097,unplaced,5869,7474,1571,0,867,0,0,2,ref|NC_041729.1|,71281481,71283113
Inv,scaffold,Contig21,unplaced,1,5648289,5483419,400,4111000,0,0,2,ref|NC_041729.1|,161345575,166976130
SP Only,scaffold,Contig2128,unplaced,1,3813,3632,0,2102,0,0,2,ref|NC_041729.1|,42380326,42384005
SP Only,scaffold,Contig2168,unplaced,1,7509,7495,0,4220,0,0,2,ref|NC_041729.1|,137736812,137744331
Inv,scaffold,Contig2186,unplaced,1,79117,79071,0,51558,0,0,2,ref|NC_041729.1|,136169640,136248806
Inv,scaffold,Contig228,unplaced,1,108103,108088,0,72006,0,0,2,ref|NC_041729.1|,61791767,61899939
SP,scaffold,Contig2333,unplaced,2,52127,52092,0,19342,0,0,2,ref|NC_041729.1|,33866681,33918924
Inv,scaffold,Contig236,unplaced,1,2621901,2620643,0,1340163,0,0,2,ref|NC_041729.1|,68516801,71149730
SP Only,scaffold,Contig2390,unplaced,1413,3410,1994,0,858,0,0,2,ref|NC_041729.1|,161332742,161334749
SP Only,scaffold,Contig2461,unplaced,11145,13809,2614,0,2248,0,0,2,ref|NC_041729.1|,54641476,54644251
SP Only,scaffold,Contig2511,unplaced,26506,27793,1239,0,894,0,0,2,ref|NC_041729.1|,63286260,63287534
SP Only,scaffold,Contig2654,unplaced,2,12897,12874,0,9276,0,0,2,ref|NC_041729.1|,2169242,2182219
SP Only,scaffold,Contig2671,unplaced,1,13037,12900,0,11401,0,0,2,ref|NC_041729.1|,64922900,64935939
SP Only,scaffold,Contig2715,unplaced,1,1186,1184,0,641,0,0,2,ref|NC_041729.1|,133401168,133402364
SP Only,scaffold,Contig2746,unplaced,1,4564,4552,0,2069,0,0,2,ref|NC_041729.1|,71219473,71224070
SP Only,scaffold,Contig2773,unplaced,1,13862,13711,0,7302,0,0,2,ref|NC_041729.1|,63786615,63800641
SP Only,scaffold,Contig2776,unplaced,668,9286,8592,0,3598,0,0,2,ref|NC_041729.1|,68333209,68341893
SP,scaffold,Contig281,unplaced,6441984,6452150,10098,0,6230,0,0,2,ref|NC_041729.1|,61430671,61440792
SP Only,scaffold,Contig2816,unplaced,1,8053,8039,0,3051,0,0,2,ref|NC_041729.1|,68330449,68338515
SP Only,scaffold,Contig2832,unplaced,1,7784,7723,0,2816,0,0,2,ref|NC_041729.1|,68405656,68413654
Inv,scaffold,Contig2842,unplaced,9354,9361,8,0,0,0,0,2,ref|NC_041729.1|,68313197,68313204
Inv,scaffold,Contig285,unplaced,379037,379520,484,0,157,0,0,2,ref|NC_041729.1|,5398967,5399454
SP Only,scaffold,Contig2857,unplaced,3,1499,1453,0,1227,0,0,2,ref|NC_041729.1|,54642786,54644251
SP Only,scaffold,Contig2863,unplaced,7473,9526,2049,0,535,0,0,2,ref|NC_041729.1|,68331300,68333350
SP Only,scaffold,Contig2891,unplaced,5540,7167,1510,0,959,0,0,2,ref|NC_041729.1|,68309795,68311328
SP Only,scaffold,Contig2938,unplaced,1,10596,10574,0,3829,0,0,2,ref|NC_041729.1|,63343705,63354361
SP Only,scaffold,Contig2974,unplaced,1,6170,6163,0,5444,0,0,2,ref|NC_041729.1|,64931958,64938155
SP Only,scaffold,Contig2980,unplaced,929,33167,32090,0,13137,0,0,2,ref|NC_041729.1|,78666313,78698769
SP Only,scaffold,Contig3005,unplaced,329358,330647,1282,0,772,0,0,2,ref|NC_041729.1|,68147060,68148408
Inv,scaffold,Contig3008,unplaced,1,481533,481333,0,255133,0,0,2,ref|NC_041729.1|,171234123,171716194
Inv,scaffold,Contig3014,unplaced,3190,3413,224,0,224,0,0,2,ref|NC_041729.1|,168818734,168818962
SP Only,scaffold,Contig3099,unplaced,1,42757,42726,0,27442,0,0,2,ref|NC_041729.1|,98804181,98846977
Inv,scaffold,Contig3167,unplaced,63,245,183,0,165,0,0,2,ref|NC_041729.1|,68516618,68516800
SP Only,scaffold,Contig3172,unplaced,40,19379,19314,0,10189,0,0,2,ref|NC_041729.1|,68330132,68349521
SP,scaffold,Contig3269,unplaced,847734,851180,3429,0,1197,0,0,2,ref|NC_041729.1|,138973531,138976965
SP Only,scaffold,Contig3314,unplaced,24686,26443,1654,0,1216,0,0,2,ref|NC_041729.1|,68307004,68308695
SP Only,scaffold,Contig3335,unplaced,1729,3841,2070,0,1177,0,0,2,ref|NC_041729.1|,68311502,68313716
SP,scaffold,Contig334,unplaced,346031,355675,9613,0,5362,0,0,2,ref|NC_041729.1|,103620547,103630208
SP Only,scaffold,Contig3382,unplaced,4775,7904,3025,0,2714,0,0,2,ref|NC_041729.1|,64914845,64917919
SP Only,scaffold,Contig3428,unplaced,4707,10782,6047,0,2991,0,0,2,ref|NC_041729.1|,68335823,68341893
SP Only,scaffold,Contig3444,unplaced,8439,11121,2629,0,2208,0,0,2,ref|NC_041729.1|,54641476,54644251
SP Only,scaffold,Contig3502,unplaced,3724,6450,2716,0,2401,0,0,2,ref|NC_041729.1|,64910206,64913020
SP Only,scaffold,Contig3506,unplaced,24725,26129,1370,0,802,0,0,2,ref|NC_041729.1|,68312112,68313528
SP Only,scaffold,Contig362,unplaced,3,2168,2136,0,480,0,0,2,ref|NC_041729.1|,137450706,137452860
SP Only,scaffold,Contig3679,unplaced,1,9574,9559,0,8597,0,0,2,ref|NC_041729.1|,64928679,64938282
SP Only,scaffold,Contig3689,unplaced,1,6179,6100,0,4536,0,0,2,ref|NC_041729.1|,167015391,167021551
SP Only,scaffold,Contig3694,unplaced,5635,8285,2597,0,2291,0,0,2,ref|NC_041729.1|,54641476,54644230
SP Only,scaffold,Contig3786,unplaced,1,44886,44856,0,27110,0,0,2,ref|NC_041729.1|,155433269,155478278
SP Only,scaffold,Contig3789,unplaced,1,35012,34915,0,29161,0,0,2,ref|NC_041729.1|,64896939,64932089
SP Only,scaffold,Contig3825,unplaced,1,5774,5762,0,3540,0,0,2,ref|NC_041729.1|,68343701,68349521
SP Only,scaffold,Contig3859,unplaced,10010,12235,2119,0,1490,0,0,2,ref|NC_041729.1|,68309795,68311982
Inv,scaffold,Contig3886,unplaced,876,910,32,0,25,0,0,2,ref|NC_041729.1|,133287571,133287604
SP Only,scaffold,Contig3954,unplaced,1,6774,6760,0,4377,0,0,2,ref|NC_041729.1|,68347678,68354450
SP Only,scaffold,Contig3987,unplaced,1,2066,2066,0,903,0,0,2,ref|NC_041729.1|,161328553,161330628
SP Only,scaffold,Contig3993,unplaced,5926,9091,3037,0,2764,0,0,2,ref|NC_041729.1|,64914845,64917919
SP Only,scaffold,Contig401,unplaced,22223,24945,2709,0,2392,0,0,2,ref|NC_041729.1|,64910206,64913003
SP Only,scaffold,Contig4035,unplaced,1,9737,9729,0,6642,0,0,2,ref|NC_041729.1|,68274072,68283867
SP Only,scaffold,Contig4096,unplaced,4377,7626,3171,0,2798,0,0,2,ref|NC_041729.1|,54641476,54644820
SP Only,scaffold,Contig4195,unplaced,1,8262,8260,0,4014,0,0,2,ref|NC_041729.1|,104973061,104981327
SP Only,scaffold,Contig4203,unplaced,6814,10063,3171,0,2798,0,0,2,ref|NC_041729.1|,54641476,54644820
SP Only,scaffold,Contig4216,unplaced,1,15219,15189,0,6826,0,0,2,ref|NC_041729.1|,68330246,68345638
SP Only,scaffold,Contig4270,unplaced,1,7118,7110,0,4875,0,0,2,ref|NC_041729.1|,68342394,68349521
SP Only,scaffold,Contig4324,unplaced,1,11664,11599,0,7367,0,0,2,ref|NC_041729.1|,25761959,25773668
SP Only,scaffold,Contig4327,unplaced,282,2636,2345,0,1301,0,0,2,ref|NC_041729.1|,50152385,50154747
SP Only,scaffold,Contig4377,unplaced,1,31864,31825,0,14670,0,0,2,ref|NC_041729.1|,47896831,47928778
SP Only,scaffold,Contig4419,unplaced,10067,11990,1755,0,1293,0,0,2,ref|NC_041729.1|,68309700,68311489
Inv,scaffold,Contig445,unplaced,1,27114,27113,0,17460,0,0,2,ref|NC_041729.1|,170632018,170659146
SP Only,scaffold,Contig4467,unplaced,1,8008,8001,0,2980,0,0,2,ref|NC_041729.1|,68330449,68338516
SP Only,scaffold,Contig4532,unplaced,3379,11546,8117,0,5050,0,0,2,ref|NC_041729.1|,26261633,26269809
SP Only,scaffold,Contig4544,unplaced,113,29771,29590,0,24162,0,0,2,ref|NC_041729.1|,165651990,165681729
SP Only,scaffold,Contig503,unplaced,1,3497,3466,0,651,0,0,2,ref|NC_041729.1|,49936023,49939535
SP Only,scaffold,Contig515,unplaced,1,29566,29508,0,12279,0,0,2,ref|NC_041729.1|,68487228,68516861
SP Only,scaffold,Contig525,unplaced,1,1357,1357,0,1291,0,0,2,ref|NC_041729.1|,95160735,95162095
SP Only,scaffold,Contig561,unplaced,31447,34111,2617,0,2307,0,0,2,ref|NC_041729.1|,54641476,54644251
SP Only,scaffold,Contig585,unplaced,1,4149,4145,0,2862,0,0,2,ref|NC_041729.1|,68345373,68349521
SP,scaffold,Contig590,unplaced,13186,16771,3511,0,1324,0,0,2,ref|NC_041729.1|,170588431,170591998
Inv,scaffold,Contig630,unplaced,1,226,226,0,219,0,0,2,ref|NC_041729.1|,64928907,64929132
SP Only,scaffold,Contig677,unplaced,1,20221,20196,0,7069,0,0,2,ref|NC_041729.1|,87006151,87026498
SP Only,scaffold,Contig686,unplaced,2936,4846,1863,0,1281,0,0,2,ref|NC_041729.1|,68308948,68310865
SP Only,scaffold,Contig754,unplaced,1,1810,1807,0,827,0,0,2,ref|NC_041729.1|,68343547,68345372
SP Only,scaffold,Contig816,unplaced,1,1266,1266,0,591,0,0,2,ref|NC_041729.1|,71203017,71204286
SP,scaffold,Contig82,unplaced,1098109,1100499,2376,0,1861,0,0,2,ref|NC_041729.1|,2871379,2873756
SP Only,scaffold,Contig880,unplaced,1,15503,15500,0,7770,0,0,2,ref|NC_041729.1|,61737778,61753427
SP Only,scaffold,Contig896,unplaced,14059,20788,6728,0,6074,0,0,2,ref|NC_041729.1|,64931540,64938282
SP,scaffold,Contig943,unplaced,1,20329,20276,0,13855,0,0,2,ref|NC_041729.1|,54570275,54590618
SP Only,scaffold,Contig1042,unplaced,2,7926,7909,0,1302,0,0,3,ref|NC_041730.1|,39758929,39766856
SP Only,scaffold,Contig1060,unplaced,2747,4342,1517,0,144,0,0,3,ref|NC_041730.1|,120390061,120391641
Inv,scaffold,Contig1111,unplaced,3963,4970,969,0,805,0,0,3,ref|NC_041730.1|,52922660,52923699
SP Only,scaffold,Contig1199,unplaced,8597,10184,1521,0,118,0,0,3,ref|NC_041730.1|,120390061,120391641
SP Only,scaffold,Contig1306,unplaced,1,24164,24150,0,12339,0,0,3,ref|NC_041730.1|,39557519,39581713
SP Only,scaffold,Contig131,unplaced,1,11428,11417,0,9649,0,0,3,ref|NC_041730.1|,47246854,47258403
SP,scaffold,Contig154,unplaced,56629,60101,3359,0,2258,0,0,3,ref|NC_041730.1|,52904396,52907859
SP Only,scaffold,Contig1558,unplaced,32836,34433,1520,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
SP Only,scaffold,Contig1571,unplaced,1,30511,30424,0,18244,0,0,3,ref|NC_041730.1|,2656673,2687546
SP Only,scaffold,Contig1612,unplaced,21513,23108,1518,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
Inv,scaffold,Contig170,unplaced,1,7264488,7216249,200,4507193,0,0,3,ref|NC_041730.1|,124827576,132069270
SP Only,scaffold,Contig1774,unplaced,1,9787,9731,0,8211,0,0,3,ref|NC_041730.1|,3836701,3846549
SP Only,scaffold,Contig1840,unplaced,20759,22357,1520,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
Inv,scaffold,Contig185,unplaced,80035,80051,17,0,17,0,0,3,ref|NC_041730.1|,49457300,49457316
SP Only,scaffold,Contig1947,unplaced,1,15181,15108,0,11869,0,0,3,ref|NC_041730.1|,3909745,3925286
SP Only,scaffold,Contig2038,unplaced,24072,32349,7664,0,4796,0,0,3,ref|NC_041730.1|,74180080,74188416
SP Only,scaffold,Contig2046,unplaced,8361,14499,6105,0,1143,0,0,3,ref|NC_041730.1|,39771490,39777676
SP Only,scaffold,Contig2061,unplaced,8007,13408,5322,0,4784,0,0,3,ref|NC_041730.1|,52799496,52804942
SP Only,scaffold,Contig2063,unplaced,1,38313,38065,0,33187,0,0,3,ref|NC_041730.1|,47208399,47246852
SP Only,scaffold,Contig2076,unplaced,8235,14387,6092,0,1158,0,0,3,ref|NC_041730.1|,39771490,39777676
SP Only,scaffold,Contig2142,unplaced,894,17417,16397,0,2792,0,0,3,ref|NC_041730.1|,39741377,39757867
SP Only,scaffold,Contig2191,unplaced,23239,27738,4484,0,3935,0,0,3,ref|NC_041730.1|,52802402,52806963
SP Only,scaffold,Contig2205,unplaced,1,7094,7083,0,5461,0,0,3,ref|NC_041730.1|,2412039,2419155
Inv,scaffold,Contig2222,unplaced,18,124,107,0,23,0,0,3,ref|NC_041730.1|,49761063,49761169
SP Only,scaffold,Contig2274,unplaced,958,2864,1891,0,960,0,0,3,ref|NC_041730.1|,39739158,39741109
SP Only,scaffold,Contig2586,unplaced,1,4621,4619,0,829,0,0,3,ref|NC_041730.1|,39758082,39762717
SP Only,scaffold,Contig260,unplaced,1,13619,13605,0,10369,0,0,3,ref|NC_041730.1|,141140295,141153926
SP Only,scaffold,Contig2699,unplaced,1,3651,3558,0,2861,0,0,3,ref|NC_041730.1|,47258404,47262072
SP Only,scaffold,Contig2730,unplaced,8762,14084,5256,0,4487,0,0,3,ref|NC_041730.1|,52799497,52804942
SP Only,scaffold,Contig2843,unplaced,1,9837,9829,0,1342,0,0,3,ref|NC_041730.1|,39748158,39758082
SP Only,scaffold,Contig2860,unplaced,1,3400,3353,0,2031,0,0,3,ref|NC_041730.1|,47079254,47082679
SP Only,scaffold,Contig2897,unplaced,1,2056,2046,0,895,0,0,3,ref|NC_041730.1|,39737190,39739262
Inv,scaffold,Contig2916,unplaced,1,18866,18828,0,7320,0,0,3,ref|NC_041730.1|,49662752,49681650
SP Only,scaffold,Contig2918,unplaced,1,29759,29546,0,20500,0,0,3,ref|NC_041730.1|,47143742,47173564
SP Only,scaffold,Contig3039,unplaced,1,1503,1492,0,1114,0,0,3,ref|NC_041730.1|,47195708,47197212
SP Only,scaffold,Contig3078,unplaced,181,2136,1947,0,787,0,0,3,ref|NC_041730.1|,39737190,39739157
SP Only,scaffold,Contig31,unplaced,1,43830,43748,0,21713,0,0,3,ref|NC_041730.1|,7223564,7267370
SP Only,scaffold,Contig3185,unplaced,2068,18497,16307,0,2817,0,0,3,ref|NC_041730.1|,39741377,39757867
Inv,scaffold,Contig3201,unplaced,5,718157,717480,0,426942,0,0,3,ref|NC_041730.1|,2749,722921
SP Only,scaffold,Contig3504,unplaced,1,14905,14871,0,7059,0,0,3,ref|NC_041730.1|,54500292,54515189
SP Only,scaffold,Contig3512,unplaced,1,39128,39063,0,30065,0,0,3,ref|NC_041730.1|,1446138,1485460
SP Only,scaffold,Contig3549,unplaced,2086,5002,2854,0,1921,0,0,3,ref|NC_041730.1|,74265732,74268753
Inv,scaffold,Contig3619,unplaced,2,1521,1520,0,400,0,0,3,ref|NC_041730.1|,722922,724442
SP Only,scaffold,Contig3638,unplaced,10,6246,6195,0,1266,0,0,3,ref|NC_041730.1|,39771425,39777676
SP Only,scaffold,Contig3661,unplaced,10,6246,6195,0,1266,0,0,3,ref|NC_041730.1|,39771425,39777676
SP Only,scaffold,Contig3665,unplaced,1,1944,1932,0,980,0,0,3,ref|NC_041730.1|,39739264,39741236
Inv,scaffold,Contig3687,unplaced,316,1824,1437,0,999,0,0,3,ref|NC_041730.1|,74075389,74076972
SP Only,scaffold,Contig3698,unplaced,1,29982,29701,0,25502,0,0,3,ref|NC_041730.1|,47234298,47264495
SP Only,scaffold,Contig3707,unplaced,1,1018,1018,0,894,0,0,3,ref|NC_041730.1|,74003453,74004472
SP Only,scaffold,Contig3714,unplaced,1,22532,22475,0,8316,0,0,3,ref|NC_041730.1|,36158925,36181524
SP Only,scaffold,Contig3718,unplaced,17931,19528,1520,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
Inv,scaffold,Contig3723,unplaced,1,6239093,6229420,0,3063165,0,0,3,ref|NC_041730.1|,39741377,45988836
SP Only,scaffold,Contig3817,unplaced,1,6527,6460,0,1835,0,0,3,ref|NC_041730.1|,51551309,51557811
SP Only,scaffold,Contig3895,unplaced,10262,12060,1786,0,1015,0,0,3,ref|NC_041730.1|,49594944,49596771
SP Only,scaffold,Contig3942,unplaced,1,4924,4890,0,4350,0,0,3,ref|NC_041730.1|,52799097,52804196
SP Only,scaffold,Contig4042,unplaced,1,26520,26486,0,12950,0,0,3,ref|NC_041730.1|,39557519,39584070
SP Only,scaffold,Contig4077,unplaced,1,20050,19940,0,17967,0,0,3,ref|NC_041730.1|,47238338,47258403
SP Only,scaffold,Contig4078,unplaced,3,1535,1500,0,301,0,0,3,ref|NC_041730.1|,39745746,39747283
SP Only,scaffold,Contig4083,unplaced,1,32886,32790,0,13330,0,0,3,ref|NC_041730.1|,6688069,6721138
SP Only,scaffold,Contig4159,unplaced,1,7189,6811,0,4961,0,0,3,ref|NC_041730.1|,74067813,74075020
SP Only,scaffold,Contig419,unplaced,1101,2699,1520,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
SP Only,scaffold,Contig4445,unplaced,9996,13200,3125,0,2946,0,0,3,ref|NC_041730.1|,52801754,52804942
SP Only,scaffold,Contig4461,unplaced,8226,14381,6121,0,1198,0,0,3,ref|NC_041730.1|,39771490,39777676
SP Only,scaffold,Contig4528,unplaced,2348,5538,3125,0,2907,0,0,3,ref|NC_041730.1|,52801754,52804942
SP Only,scaffold,Contig4538,unplaced,1,4261,4246,0,2006,0,0,3,ref|NC_041730.1|,5621819,5626084
SP Only,scaffold,Contig4542,unplaced,1,3168,3159,0,513,0,0,3,ref|NC_041730.1|,39745746,39748921
SP Only,scaffold,Contig459,unplaced,1,10523,10506,0,1366,0,0,3,ref|NC_041730.1|,51533940,51544477
SP Only,scaffold,Contig480,unplaced,1,14145,14069,0,8582,0,0,3,ref|NC_041730.1|,1048460,1062645
SP Only,scaffold,Contig490,unplaced,11308,14498,3125,0,2907,0,0,3,ref|NC_041730.1|,52801754,52804942
SP Only,scaffold,Contig511,unplaced,1,29630,29606,0,17453,0,0,3,ref|NC_041730.1|,66228209,66258086
SP Only,scaffold,Contig532,unplaced,3441,9123,5611,0,5080,0,0,3,ref|NC_041730.1|,52799097,52804942
SP Only,scaffold,Contig560,unplaced,11287,16455,5045,0,3445,0,0,3,ref|NC_041730.1|,49591668,49596771
SP Only,scaffold,Contig568,unplaced,1,3136,3121,0,1145,0,0,3,ref|NC_041730.1|,50146353,50149581
SP Only,scaffold,Contig587,unplaced,17369,19482,1979,0,1426,0,0,3,ref|NC_041730.1|,49592433,49594471
SP Only,scaffold,Contig620,unplaced,2437,8673,6195,0,1266,0,0,3,ref|NC_041730.1|,39771425,39777676
SP Only,scaffold,Contig694,unplaced,1,3484,3474,0,514,0,0,3,ref|NC_041730.1|,39745746,39749242
SP Only,scaffold,Contig738,unplaced,27411,28998,1508,0,129,0,0,3,ref|NC_041730.1|,120390061,120391641
SP Only,scaffold,Contig781,unplaced,9552,11147,1521,0,153,0,0,3,ref|NC_041730.1|,120390061,120391641
