# Assembly name:  ASM296699v1
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA433451
# Submitter:      BGI
# Date:           2018-03-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    PTTO01
# Assembly method: Falcon + Dovetail HiRes v. JULY-2016
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: PacBio; Illumina
# GenBank assembly accession: GCA_002966995.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002967025.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig1012	unplaced-scaffold	na	na	PTTO01002498.1	<>	na	Primary Assembly	5098	na
Contig1013	unplaced-scaffold	na	na	PTTO01000612.1	<>	na	Primary Assembly	50143	na
Contig1014	unplaced-scaffold	na	na	PTTO01001133.1	<>	na	Primary Assembly	48594	na
Contig1015	unplaced-scaffold	na	na	PTTO01000201.1	<>	na	Primary Assembly	32674	na
Contig1016	unplaced-scaffold	na	na	PTTO01000671.1	<>	na	Primary Assembly	19859	na
Contig1017	unplaced-scaffold	na	na	PTTO01003797.1	<>	na	Primary Assembly	15041	na
Contig1018	unplaced-scaffold	na	na	PTTO01004316.1	<>	na	Primary Assembly	10231	na
Contig1019	unplaced-scaffold	na	na	PTTO01002026.1	<>	na	Primary Assembly	79331	na
Contig102	unplaced-scaffold	na	na	PTTO01003882.1	<>	na	Primary Assembly	14275274	na
Contig1020	unplaced-scaffold	na	na	PTTO01004445.1	<>	na	Primary Assembly	573	na
Contig1021	unplaced-scaffold	na	na	PTTO01001770.1	<>	na	Primary Assembly	42918	na
Contig1022	unplaced-scaffold	na	na	PTTO01001173.1	<>	na	Primary Assembly	62576	na
Contig1023	unplaced-scaffold	na	na	PTTO01003361.1	<>	na	Primary Assembly	36898	na
Contig1024	unplaced-scaffold	na	na	PTTO01002685.1	<>	na	Primary Assembly	22772	na
Contig1025	unplaced-scaffold	na	na	PTTO01003681.1	<>	na	Primary Assembly	36020	na
Contig1026	unplaced-scaffold	na	na	PTTO01002527.1	<>	na	Primary Assembly	52020	na
Contig1027	unplaced-scaffold	na	na	PTTO01004568.1	<>	na	Primary Assembly	56775	na
Contig1028	unplaced-scaffold	na	na	PTTO01003847.1	<>	na	Primary Assembly	116438	na
Contig1029	unplaced-scaffold	na	na	PTTO01001194.1	<>	na	Primary Assembly	20625	na
Contig103	unplaced-scaffold	na	na	PTTO01000667.1	<>	na	Primary Assembly	54574	na
Contig1030	unplaced-scaffold	na	na	PTTO01004299.1	<>	na	Primary Assembly	30116	na
Contig1031	unplaced-scaffold	na	na	PTTO01003405.1	<>	na	Primary Assembly	36871	na
Contig1032	unplaced-scaffold	na	na	PTTO01004522.1	<>	na	Primary Assembly	6380	na
Contig1033	unplaced-scaffold	na	na	PTTO01000128.1	<>	na	Primary Assembly	54116	na
Contig1034	unplaced-scaffold	na	na	PTTO01000586.1	<>	na	Primary Assembly	631486	na
Contig1035	unplaced-scaffold	na	na	PTTO01001978.1	<>	na	Primary Assembly	31939	na
Contig1036	unplaced-scaffold	na	na	PTTO01001906.1	<>	na	Primary Assembly	45367	na
Contig1037	unplaced-scaffold	na	na	PTTO01002590.1	<>	na	Primary Assembly	34887	na
Contig1038	unplaced-scaffold	na	na	PTTO01003106.1	<>	na	Primary Assembly	2773	na
Contig1039	unplaced-scaffold	na	na	PTTO01004440.1	<>	na	Primary Assembly	37803	na
Contig104	unplaced-scaffold	na	na	PTTO01000052.1	<>	na	Primary Assembly	11421	na
Contig1040	unplaced-scaffold	na	na	PTTO01001755.1	<>	na	Primary Assembly	31393	na
Contig1041	unplaced-scaffold	na	na	PTTO01000159.1	<>	na	Primary Assembly	26643	na
Contig1042	unplaced-scaffold	na	na	PTTO01000888.1	<>	na	Primary Assembly	7926	na
Contig1043	unplaced-scaffold	na	na	PTTO01001128.1	<>	na	Primary Assembly	44875	na
Contig1044	unplaced-scaffold	na	na	PTTO01001733.1	<>	na	Primary Assembly	15883	na
Contig1045	unplaced-scaffold	na	na	PTTO01002681.1	<>	na	Primary Assembly	70017	na
Contig1046	unplaced-scaffold	na	na	PTTO01001225.1	<>	na	Primary Assembly	15163	na
Contig1047	unplaced-scaffold	na	na	PTTO01003719.1	<>	na	Primary Assembly	48040	na
Contig1048	unplaced-scaffold	na	na	PTTO01004414.1	<>	na	Primary Assembly	12860	na
Contig1049	unplaced-scaffold	na	na	PTTO01000947.1	<>	na	Primary Assembly	5741596	na
Contig105	unplaced-scaffold	na	na	PTTO01002736.1	<>	na	Primary Assembly	26855	na
Contig1050	unplaced-scaffold	na	na	PTTO01002275.1	<>	na	Primary Assembly	69616	na
Contig1051	unplaced-scaffold	na	na	PTTO01000001.1	<>	na	Primary Assembly	5817	na
Contig1052	unplaced-scaffold	na	na	PTTO01004058.1	<>	na	Primary Assembly	1394	na
Contig1053	unplaced-scaffold	na	na	PTTO01001669.1	<>	na	Primary Assembly	146282	na
Contig1054	unplaced-scaffold	na	na	PTTO01000853.1	<>	na	Primary Assembly	26830	na
Contig1055	unplaced-scaffold	na	na	PTTO01002621.1	<>	na	Primary Assembly	150787	na
Contig1056	unplaced-scaffold	na	na	PTTO01002422.1	<>	na	Primary Assembly	27131	na
Contig1057	unplaced-scaffold	na	na	PTTO01004257.1	<>	na	Primary Assembly	15520	na
Contig1058	unplaced-scaffold	na	na	PTTO01003409.1	<>	na	Primary Assembly	32188	na
Contig1059	unplaced-scaffold	na	na	PTTO01001035.1	<>	na	Primary Assembly	87010	na
Contig106	unplaced-scaffold	na	na	PTTO01004427.1	<>	na	Primary Assembly	8964808	na
Contig1060	unplaced-scaffold	na	na	PTTO01000390.1	<>	na	Primary Assembly	30203	na
Contig1061	unplaced-scaffold	na	na	PTTO01003178.1	<>	na	Primary Assembly	11551	na
Contig1062	unplaced-scaffold	na	na	PTTO01003776.1	<>	na	Primary Assembly	14183	na
Contig1063	unplaced-scaffold	na	na	PTTO01001769.1	<>	na	Primary Assembly	3471	na
Contig1064	unplaced-scaffold	na	na	PTTO01002700.1	<>	na	Primary Assembly	17880	na
Contig1065	unplaced-scaffold	na	na	PTTO01000741.1	<>	na	Primary Assembly	12763	na
Contig1066	unplaced-scaffold	na	na	PTTO01001146.1	<>	na	Primary Assembly	18036	na
Contig1067	unplaced-scaffold	na	na	PTTO01003813.1	<>	na	Primary Assembly	41790	na
Contig1068	unplaced-scaffold	na	na	PTTO01000192.1	<>	na	Primary Assembly	55877	na
Contig1069	unplaced-scaffold	na	na	PTTO01002771.1	<>	na	Primary Assembly	68729	na
Contig107	unplaced-scaffold	na	na	PTTO01001485.1	<>	na	Primary Assembly	889961	na
Contig1070	unplaced-scaffold	na	na	PTTO01003778.1	<>	na	Primary Assembly	33442	na
Contig1071	unplaced-scaffold	na	na	PTTO01001358.1	<>	na	Primary Assembly	31763	na
Contig1072	unplaced-scaffold	na	na	PTTO01000688.1	<>	na	Primary Assembly	73541	na
Contig1073	unplaced-scaffold	na	na	PTTO01002339.1	<>	na	Primary Assembly	23357	na
Contig1074	unplaced-scaffold	na	na	PTTO01001879.1	<>	na	Primary Assembly	20089	na
Contig1075	unplaced-scaffold	na	na	PTTO01003914.1	<>	na	Primary Assembly	2926	na
Contig1076	unplaced-scaffold	na	na	PTTO01003363.1	<>	na	Primary Assembly	65719	na
Contig1077	unplaced-scaffold	na	na	PTTO01000368.1	<>	na	Primary Assembly	22821	na
Contig1078	unplaced-scaffold	na	na	PTTO01004457.1	<>	na	Primary Assembly	19591	na
Contig1079	unplaced-scaffold	na	na	PTTO01000866.1	<>	na	Primary Assembly	15711	na
Contig108	unplaced-scaffold	na	na	PTTO01003132.1	<>	na	Primary Assembly	629215	na
Contig1080	unplaced-scaffold	na	na	PTTO01003885.1	<>	na	Primary Assembly	19621	na
Contig1081	unplaced-scaffold	na	na	PTTO01003356.1	<>	na	Primary Assembly	49384	na
Contig1082	unplaced-scaffold	na	na	PTTO01002653.1	<>	na	Primary Assembly	38275	na
Contig1083	unplaced-scaffold	na	na	PTTO01004377.1	<>	na	Primary Assembly	8744	na
Contig1084	unplaced-scaffold	na	na	PTTO01002983.1	<>	na	Primary Assembly	4723	na
Contig1085	unplaced-scaffold	na	na	PTTO01000202.1	<>	na	Primary Assembly	40348	na
Contig1086	unplaced-scaffold	na	na	PTTO01004017.1	<>	na	Primary Assembly	51799	na
Contig1087	unplaced-scaffold	na	na	PTTO01001224.1	<>	na	Primary Assembly	14301	na
Contig1088	unplaced-scaffold	na	na	PTTO01001032.1	<>	na	Primary Assembly	38014	na
Contig1089	unplaced-scaffold	na	na	PTTO01002792.1	<>	na	Primary Assembly	50009	na
Contig109	unplaced-scaffold	na	na	PTTO01000019.1	<>	na	Primary Assembly	510041	na
Contig1090	unplaced-scaffold	na	na	PTTO01004558.1	<>	na	Primary Assembly	31944	na
Contig1091	unplaced-scaffold	na	na	PTTO01001099.1	<>	na	Primary Assembly	69452	na
Contig1092	unplaced-scaffold	na	na	PTTO01000450.1	<>	na	Primary Assembly	67661	na
Contig1093	unplaced-scaffold	na	na	PTTO01001989.1	<>	na	Primary Assembly	29478	na
Contig1094	unplaced-scaffold	na	na	PTTO01001918.1	<>	na	Primary Assembly	24040	na
Contig1095	unplaced-scaffold	na	na	PTTO01001836.1	<>	na	Primary Assembly	38143	na
Contig1096	unplaced-scaffold	na	na	PTTO01001208.1	<>	na	Primary Assembly	33826	na
Contig1097	unplaced-scaffold	na	na	PTTO01003377.1	<>	na	Primary Assembly	17230	na
Contig1098	unplaced-scaffold	na	na	PTTO01002668.1	<>	na	Primary Assembly	19489	na
Contig1099	unplaced-scaffold	na	na	PTTO01003857.1	<>	na	Primary Assembly	2061529	na
Contig11	unplaced-scaffold	na	na	PTTO01000376.1	<>	na	Primary Assembly	25990719	na
Contig110	unplaced-scaffold	na	na	PTTO01000567.1	<>	na	Primary Assembly	125136	na
Contig1100	unplaced-scaffold	na	na	PTTO01000338.1	<>	na	Primary Assembly	17682	na
Contig1101	unplaced-scaffold	na	na	PTTO01002221.1	<>	na	Primary Assembly	42290	na
Contig1102	unplaced-scaffold	na	na	PTTO01002832.1	<>	na	Primary Assembly	37231	na
Contig1103	unplaced-scaffold	na	na	PTTO01002335.1	<>	na	Primary Assembly	117411	na
Contig1104	unplaced-scaffold	na	na	PTTO01002812.1	<>	na	Primary Assembly	37305	na
Contig1105	unplaced-scaffold	na	na	PTTO01002416.1	<>	na	Primary Assembly	26097	na
Contig1106	unplaced-scaffold	na	na	PTTO01004240.1	<>	na	Primary Assembly	2687502	na
Contig1107	unplaced-scaffold	na	na	PTTO01003753.1	<>	na	Primary Assembly	38764	na
Contig1108	unplaced-scaffold	na	na	PTTO01000967.1	<>	na	Primary Assembly	421952	na
Contig1109	unplaced-scaffold	na	na	PTTO01000280.1	<>	na	Primary Assembly	23503	na
Contig111	unplaced-scaffold	na	na	PTTO01003750.1	<>	na	Primary Assembly	49661	na
Contig1110	unplaced-scaffold	na	na	PTTO01002652.1	<>	na	Primary Assembly	40499	na
Contig1111	unplaced-scaffold	na	na	PTTO01003463.1	<>	na	Primary Assembly	31043	na
Contig1112	unplaced-scaffold	na	na	PTTO01003728.1	<>	na	Primary Assembly	7927	na
Contig1113	unplaced-scaffold	na	na	PTTO01000858.1	<>	na	Primary Assembly	14533	na
Contig1114	unplaced-scaffold	na	na	PTTO01002099.1	<>	na	Primary Assembly	14146	na
Contig1115	unplaced-scaffold	na	na	PTTO01001418.1	<>	na	Primary Assembly	688552	na
Contig1116	unplaced-scaffold	na	na	PTTO01002834.1	<>	na	Primary Assembly	37908	na
Contig1117	unplaced-scaffold	na	na	PTTO01002443.1	<>	na	Primary Assembly	36849	na
Contig1118	unplaced-scaffold	na	na	PTTO01003142.1	<>	na	Primary Assembly	33903	na
Contig1119	unplaced-scaffold	na	na	PTTO01002629.1	<>	na	Primary Assembly	8263	na
Contig112	unplaced-scaffold	na	na	PTTO01004415.1	<>	na	Primary Assembly	1688280	na
Contig1120	unplaced-scaffold	na	na	PTTO01003680.1	<>	na	Primary Assembly	25386	na
Contig1121	unplaced-scaffold	na	na	PTTO01000859.1	<>	na	Primary Assembly	14332	na
Contig1122	unplaced-scaffold	na	na	PTTO01000003.1	<>	na	Primary Assembly	25289	na
Contig1123	unplaced-scaffold	na	na	PTTO01001853.1	<>	na	Primary Assembly	2401	na
Contig1124	unplaced-scaffold	na	na	PTTO01003378.1	<>	na	Primary Assembly	87285	na
Contig1125	unplaced-scaffold	na	na	PTTO01002890.1	<>	na	Primary Assembly	2855	na
Contig1126	unplaced-scaffold	na	na	PTTO01004392.1	<>	na	Primary Assembly	54220	na
Contig1127	unplaced-scaffold	na	na	PTTO01003892.1	<>	na	Primary Assembly	3311433	na
Contig1128	unplaced-scaffold	na	na	PTTO01004278.1	<>	na	Primary Assembly	31600	na
Contig1129	unplaced-scaffold	na	na	PTTO01003770.1	<>	na	Primary Assembly	64639	na
Contig113	unplaced-scaffold	na	na	PTTO01002696.1	<>	na	Primary Assembly	76779	na
Contig1130	unplaced-scaffold	na	na	PTTO01004179.1	<>	na	Primary Assembly	8224	na
Contig1131	unplaced-scaffold	na	na	PTTO01003667.1	<>	na	Primary Assembly	31211	na
Contig1132	unplaced-scaffold	na	na	PTTO01000850.1	<>	na	Primary Assembly	38682	na
Contig1133	unplaced-scaffold	na	na	PTTO01000436.1	<>	na	Primary Assembly	2873	na
Contig1134	unplaced-scaffold	na	na	PTTO01002925.1	<>	na	Primary Assembly	43242	na
Contig1135	unplaced-scaffold	na	na	PTTO01003455.1	<>	na	Primary Assembly	47047	na
Contig1136	unplaced-scaffold	na	na	PTTO01001663.1	<>	na	Primary Assembly	17053	na
Contig1137	unplaced-scaffold	na	na	PTTO01002137.1	<>	na	Primary Assembly	39831	na
Contig1138	unplaced-scaffold	na	na	PTTO01001028.1	<>	na	Primary Assembly	8804	na
Contig1139	unplaced-scaffold	na	na	PTTO01001520.1	<>	na	Primary Assembly	3921	na
Contig114	unplaced-scaffold	na	na	PTTO01003283.1	<>	na	Primary Assembly	518668	na
Contig1140	unplaced-scaffold	na	na	PTTO01001476.1	<>	na	Primary Assembly	108025	na
Contig1141	unplaced-scaffold	na	na	PTTO01001007.1	<>	na	Primary Assembly	23302	na
Contig1142	unplaced-scaffold	na	na	PTTO01002760.1	<>	na	Primary Assembly	50828	na
Contig1143	unplaced-scaffold	na	na	PTTO01001710.1	<>	na	Primary Assembly	27324	na
Contig1144	unplaced-scaffold	na	na	PTTO01002811.1	<>	na	Primary Assembly	31213	na
Contig1145	unplaced-scaffold	na	na	PTTO01002747.1	<>	na	Primary Assembly	16807	na
Contig1146	unplaced-scaffold	na	na	PTTO01004469.1	<>	na	Primary Assembly	25069	na
Contig1147	unplaced-scaffold	na	na	PTTO01003722.1	<>	na	Primary Assembly	516501	na
Contig1148	unplaced-scaffold	na	na	PTTO01001440.1	<>	na	Primary Assembly	32257	na
Contig1149	unplaced-scaffold	na	na	PTTO01000255.1	<>	na	Primary Assembly	33625	na
Contig115	unplaced-scaffold	na	na	PTTO01003824.1	<>	na	Primary Assembly	1772946	na
Contig1150	unplaced-scaffold	na	na	PTTO01002391.1	<>	na	Primary Assembly	13922	na
Contig1151	unplaced-scaffold	na	na	PTTO01004258.1	<>	na	Primary Assembly	42558	na
Contig1152	unplaced-scaffold	na	na	PTTO01001983.1	<>	na	Primary Assembly	11099	na
Contig1153	unplaced-scaffold	na	na	PTTO01001484.1	<>	na	Primary Assembly	50308	na
Contig1154	unplaced-scaffold	na	na	PTTO01000495.1	<>	na	Primary Assembly	99849	na
Contig1155	unplaced-scaffold	na	na	PTTO01001971.1	<>	na	Primary Assembly	31575	na
Contig1156	unplaced-scaffold	na	na	PTTO01003843.1	<>	na	Primary Assembly	37723	na
Contig1157	unplaced-scaffold	na	na	PTTO01000635.1	<>	na	Primary Assembly	2371	na
Contig1158	unplaced-scaffold	na	na	PTTO01004083.1	<>	na	Primary Assembly	43998	na
Contig1159	unplaced-scaffold	na	na	PTTO01003442.1	<>	na	Primary Assembly	76166	na
Contig116	unplaced-scaffold	na	na	PTTO01004551.1	<>	na	Primary Assembly	233179	na
Contig1160	unplaced-scaffold	na	na	PTTO01001268.1	<>	na	Primary Assembly	25812	na
Contig1161	unplaced-scaffold	na	na	PTTO01001917.1	<>	na	Primary Assembly	40944	na
Contig1162	unplaced-scaffold	na	na	PTTO01000053.1	<>	na	Primary Assembly	62545	na
Contig1163	unplaced-scaffold	na	na	PTTO01000654.1	<>	na	Primary Assembly	20796	na
Contig1164	unplaced-scaffold	na	na	PTTO01004455.1	<>	na	Primary Assembly	24856	na
Contig1165	unplaced-scaffold	na	na	PTTO01000493.1	<>	na	Primary Assembly	2823146	na
Contig1166	unplaced-scaffold	na	na	PTTO01003053.1	<>	na	Primary Assembly	61587	na
Contig1167	unplaced-scaffold	na	na	PTTO01003768.1	<>	na	Primary Assembly	42529	na
Contig1168	unplaced-scaffold	na	na	PTTO01001697.1	<>	na	Primary Assembly	49472	na
Contig1169	unplaced-scaffold	na	na	PTTO01003297.1	<>	na	Primary Assembly	42921	na
Contig117	unplaced-scaffold	na	na	PTTO01002558.1	<>	na	Primary Assembly	2001295	na
Contig1170	unplaced-scaffold	na	na	PTTO01000843.1	<>	na	Primary Assembly	60857	na
Contig1171	unplaced-scaffold	na	na	PTTO01001621.1	<>	na	Primary Assembly	33276	na
Contig1172	unplaced-scaffold	na	na	PTTO01004429.1	<>	na	Primary Assembly	34221	na
Contig1173	unplaced-scaffold	na	na	PTTO01004028.1	<>	na	Primary Assembly	13805	na
Contig1174	unplaced-scaffold	na	na	PTTO01002418.1	<>	na	Primary Assembly	8966	na
Contig1175	unplaced-scaffold	na	na	PTTO01003085.1	<>	na	Primary Assembly	36461	na
Contig1176	unplaced-scaffold	na	na	PTTO01001407.1	<>	na	Primary Assembly	68417	na
Contig1177	unplaced-scaffold	na	na	PTTO01002049.1	<>	na	Primary Assembly	15860	na
Contig1178	unplaced-scaffold	na	na	PTTO01004045.1	<>	na	Primary Assembly	49472	na
Contig1179	unplaced-scaffold	na	na	PTTO01000978.1	<>	na	Primary Assembly	4011	na
Contig118	unplaced-scaffold	na	na	PTTO01003196.1	<>	na	Primary Assembly	2772567	na
Contig1180	unplaced-scaffold	na	na	PTTO01004034.1	<>	na	Primary Assembly	29797	na
Contig1181	unplaced-scaffold	na	na	PTTO01003808.1	<>	na	Primary Assembly	22891	na
Contig1182	unplaced-scaffold	na	na	PTTO01003160.1	<>	na	Primary Assembly	46100	na
Contig1183	unplaced-scaffold	na	na	PTTO01003066.1	<>	na	Primary Assembly	28757	na
Contig1184	unplaced-scaffold	na	na	PTTO01000396.1	<>	na	Primary Assembly	91868	na
Contig1185	unplaced-scaffold	na	na	PTTO01002166.1	<>	na	Primary Assembly	2522	na
Contig1186	unplaced-scaffold	na	na	PTTO01003397.1	<>	na	Primary Assembly	26339	na
Contig1187	unplaced-scaffold	na	na	PTTO01000619.1	<>	na	Primary Assembly	130393	na
Contig1188	unplaced-scaffold	na	na	PTTO01002424.1	<>	na	Primary Assembly	58357	na
Contig1189	unplaced-scaffold	na	na	PTTO01004161.1	<>	na	Primary Assembly	30526	na
Contig119	unplaced-scaffold	na	na	PTTO01000680.1	<>	na	Primary Assembly	389802	na
Contig1190	unplaced-scaffold	na	na	PTTO01000147.1	<>	na	Primary Assembly	17347	na
Contig1191	unplaced-scaffold	na	na	PTTO01000756.1	<>	na	Primary Assembly	621610	na
Contig1192	unplaced-scaffold	na	na	PTTO01004346.1	<>	na	Primary Assembly	32288	na
Contig1193	unplaced-scaffold	na	na	PTTO01000526.1	<>	na	Primary Assembly	38472	na
Contig1194	unplaced-scaffold	na	na	PTTO01003315.1	<>	na	Primary Assembly	19826	na
Contig1195	unplaced-scaffold	na	na	PTTO01003533.1	<>	na	Primary Assembly	73827	na
Contig1196	unplaced-scaffold	na	na	PTTO01001688.1	<>	na	Primary Assembly	36266	na
Contig1197	unplaced-scaffold	na	na	PTTO01002467.1	<>	na	Primary Assembly	35104	na
Contig1198	unplaced-scaffold	na	na	PTTO01001494.1	<>	na	Primary Assembly	32280	na
Contig1199	unplaced-scaffold	na	na	PTTO01002006.1	<>	na	Primary Assembly	75838	na
Contig12	unplaced-scaffold	na	na	PTTO01002315.1	<>	na	Primary Assembly	23052461	na
Contig120	unplaced-scaffold	na	na	PTTO01003474.1	<>	na	Primary Assembly	251115	na
Contig1200	unplaced-scaffold	na	na	PTTO01004279.1	<>	na	Primary Assembly	112039	na
Contig1201	unplaced-scaffold	na	na	PTTO01004022.1	<>	na	Primary Assembly	9772	na
Contig1202	unplaced-scaffold	na	na	PTTO01003561.1	<>	na	Primary Assembly	15178	na
Contig1203	unplaced-scaffold	na	na	PTTO01002702.1	<>	na	Primary Assembly	13607	na
Contig1204	unplaced-scaffold	na	na	PTTO01002355.1	<>	na	Primary Assembly	127360	na
Contig1205	unplaced-scaffold	na	na	PTTO01000946.1	<>	na	Primary Assembly	19116	na
Contig1206	unplaced-scaffold	na	na	PTTO01000344.1	<>	na	Primary Assembly	12994	na
Contig1207	unplaced-scaffold	na	na	PTTO01004180.1	<>	na	Primary Assembly	27162	na
Contig1208	unplaced-scaffold	na	na	PTTO01003640.1	<>	na	Primary Assembly	54870	na
Contig1209	unplaced-scaffold	na	na	PTTO01003456.1	<>	na	Primary Assembly	4311	na
Contig121	unplaced-scaffold	na	na	PTTO01001025.1	<>	na	Primary Assembly	199328	na
Contig1210	unplaced-scaffold	na	na	PTTO01003709.1	<>	na	Primary Assembly	26652	na
Contig1211	unplaced-scaffold	na	na	PTTO01003947.1	<>	na	Primary Assembly	15440	na
Contig1212	unplaced-scaffold	na	na	PTTO01004462.1	<>	na	Primary Assembly	22890	na
Contig1213	unplaced-scaffold	na	na	PTTO01000646.1	<>	na	Primary Assembly	22646	na
Contig1214	unplaced-scaffold	na	na	PTTO01001350.1	<>	na	Primary Assembly	20332	na
Contig1215	unplaced-scaffold	na	na	PTTO01002628.1	<>	na	Primary Assembly	22366	na
Contig1216	unplaced-scaffold	na	na	PTTO01003133.1	<>	na	Primary Assembly	6651	na
Contig1217	unplaced-scaffold	na	na	PTTO01003912.1	<>	na	Primary Assembly	39535	na
Contig1218	unplaced-scaffold	na	na	PTTO01004453.1	<>	na	Primary Assembly	31736	na
Contig1219	unplaced-scaffold	na	na	PTTO01004384.1	<>	na	Primary Assembly	6588	na
Contig122	unplaced-scaffold	na	na	PTTO01000502.1	<>	na	Primary Assembly	220491	na
Contig1220	unplaced-scaffold	na	na	PTTO01002158.1	<>	na	Primary Assembly	92399	na
Contig1221	unplaced-scaffold	na	na	PTTO01003302.1	<>	na	Primary Assembly	49332	na
Contig1222	unplaced-scaffold	na	na	PTTO01002818.1	<>	na	Primary Assembly	91391	na
Contig1223	unplaced-scaffold	na	na	PTTO01003449.1	<>	na	Primary Assembly	41629	na
Contig1224	unplaced-scaffold	na	na	PTTO01004237.1	<>	na	Primary Assembly	71356	na
Contig1225	unplaced-scaffold	na	na	PTTO01000787.1	<>	na	Primary Assembly	32343	na
Contig1226	unplaced-scaffold	na	na	PTTO01001328.1	<>	na	Primary Assembly	59996	na
Contig1227	unplaced-scaffold	na	na	PTTO01002087.1	<>	na	Primary Assembly	56334	na
Contig1228	unplaced-scaffold	na	na	PTTO01002718.1	<>	na	Primary Assembly	21437	na
Contig1229	unplaced-scaffold	na	na	PTTO01003849.1	<>	na	Primary Assembly	633452	na
Contig123	unplaced-scaffold	na	na	PTTO01002191.1	<>	na	Primary Assembly	1168543	na
Contig1230	unplaced-scaffold	na	na	PTTO01000972.1	<>	na	Primary Assembly	14905	na
Contig1231	unplaced-scaffold	na	na	PTTO01000653.1	<>	na	Primary Assembly	33052	na
Contig1232	unplaced-scaffold	na	na	PTTO01001166.1	<>	na	Primary Assembly	32922	na
Contig1233	unplaced-scaffold	na	na	PTTO01001937.1	<>	na	Primary Assembly	27674	na
Contig1234	unplaced-scaffold	na	na	PTTO01002960.1	<>	na	Primary Assembly	43105	na
Contig1235	unplaced-scaffold	na	na	PTTO01003539.1	<>	na	Primary Assembly	405820	na
Contig1236	unplaced-scaffold	na	na	PTTO01000475.1	<>	na	Primary Assembly	9994	na
Contig1237	unplaced-scaffold	na	na	PTTO01001011.1	<>	na	Primary Assembly	42652	na
Contig1238	unplaced-scaffold	na	na	PTTO01000985.1	<>	na	Primary Assembly	23974	na
Contig1239	unplaced-scaffold	na	na	PTTO01001458.1	<>	na	Primary Assembly	24648	na
Contig124	unplaced-scaffold	na	na	PTTO01001543.1	<>	na	Primary Assembly	3593503	na
